"title","category","duration","channel","description","intensity","props","url"
"Rampa Wzmacniająca - Joga dla Facetów | POZIOM ★★★☆ |","Wzmacnianie, Mężczyźni, Dynamika, Balans","43","Yoga Home","Dynamiczna sesja jogi wzmacniająca ramiona, brzuch i mięśnie core z elementami balansów.","4","Brak","https://www.youtube.com/watch?v=7Y0AOEefSQ0"
"SILENT YOGA - Full Body Stretch - music only","Full Body, Rozciąganie, Muzyka, Sesja bez słów","30","Yoga Home","Cicha sesja jogi pełnego ciała z segmentami ćwiczeń i przerwami na przejścia.","3","Brak","https://www.youtube.com/watch?v=qxt-Xp1ycKE"
"Yoga Peak Pose - Pozycja Kruka 60 min | POZIOM ★★☆☆ |","Vinyasa, Siła, Technika, Balans","60","Yoga Home","Wzmacniająco-techniczna sesja jogi, przygotowująca do pozycji kruka.","3","Brak","https://www.youtube.com/watch?v=u4x_rT2v9O8"
"30 min Yoga Flow bez Powitań Słońca | POZIOM ★★☆☆ |","Vinyasa, Relaks, Harmonia, Płynność","32","Yoga Home","Sesja jogi skupiająca się na płynnych ruchach, unikająca intensywnych powitań słońca, aby zapewnić harmonię ciała i umysłu.","2","Brak","https://www.youtube.com/watch?v=RiZW-ByF2to"
"Easy Yoga Flow  - Joga na brak sił | POZIOM ★☆☆☆ |","Łagodna, Relaks, Wyciszenie, Płynność","55","Yoga Home","Gentle flow, który koncentruje się na powolnych, płynnych ruchach w celu odnalezienia wewnętrznego spokoju i równowagi.","2","Brak","https://www.youtube.com/watch?v=9dRBjy_gNkU"
"Vinyasa bez Chaturang - Joga 50+ | POZIOM ★☆☆☆ |","Vinyasa, Rehabilitacja, Modifikacja, Zobacz","36","Yoga Home","Praktyka jogi w stylu vinyasa z modyfikacją Powitania Słońca, skierowana dla osób, które mają trudności z chaturangą.","2","Brak","https://www.youtube.com/watch?v=1pBrYsuPZ7M"
"Yoga Peak Pose - trzcina cukrowa 75 min | POZIOM ★★☆☆ |","Vinyasa, Peak Pose, Harmonia, Wzmocnienie","75","Yoga Home","Sesja jogi przygotowująca ciało do wykonania pozycji Trzciny Cukrowej poprzez płynne sekwencje vinyasa.","3","Brak","https://www.youtube.com/watch?v=81hwYzm-NUk"
"Rozgrzewająca Lekcja Jogi | POZIOM ★★☆☆ |","Vinyasa, Rozgrzewka, Medytacja, Energia","30","Yoga Home","Dynamiczna lekcja jogi w stylu vinyasa, łącząca ruch z oddechem, tworząc medytacyjne doświadczenie.","3","Brak","https://www.youtube.com/watch?v=mjJAG8Z3dsA"
"60 min Full Body Yoga | POZIOM ★☆☆☆","Kompleksowa, Wzmacnianie, Harmonia, Płynność","63","Yoga Home","Kompleksowa praktyka jogi, mająca na celu zadbanie o całe ciało w lekcji o skróconym czasie.","2","Brak","https://www.youtube.com/watch?v=uTrGOWzuapQ"
"Stanie na Rękach w Praktyce Jogi | POZIOM ★★★★ |","Vinyasa, Stanie na rękach, Wzmacnianie, Zobacz","25","Yoga Home","Sesja jogi w stylu vinyasa, w której uczymy się wplatać elementy Stania na Rękach do standardowej praktyki.","4","Brak","https://www.youtube.com/watch?v=q6d_f7ThFY8"
"Joga w parze (nie tylko) na Walentynki ❤","Współpraca, Duo, Zabawa, Doświadczenie","41","Yoga Home","Sesja jogi w parze, która zachęca do komunikacji i nowych doświadczeń podczas praktyki.","2","Brak","https://www.youtube.com/watch?v=i2mGQotOx2g"
"Easy L-sit - Joga wzmacniająca 55 min | POZIOM ★★☆☆ |","Vinyasa, Wzmacnianie, Mobilność, L-sit","59","Yoga Home","Praktyka jogi skoncentrowana na wzmacnianiu ciała i osiągnięciu pozycji L-sit.","3","Brak","https://www.youtube.com/watch?v=A5EiJHJPmjo"
"Agrafka - mobilność obręczy barkowej | POZIOM ★☆☆☆ |","Mobilność, Rehabilitacja, Barki, Zobacz","22","Yoga Home","Krótka sesja jogi, która poprawia mobilność obręczy barkowej i pasuje jako rozruszanie po długim dniu.","2","Brak","https://www.youtube.com/watch?v=jWeSphqlREw"
"Głębokie skłony - joga rozciągająca 65 min | POZIOM ★★☆☆ |","Vinyasa, Rozciąganie, Skłony, Mobilność","68","Yoga Home","Sesja jogi prowadząca do pogłębienia zakresu ruchu w skłonach w przód, realizowana metodą vinyasa.","2","Brak","https://www.youtube.com/watch?v=JHM9X71fZG8"
"Joga po nartach - solidne rozciąganie | POZIOM ★★☆☆ |","Rozciąganie, Narty, Rehabilitacja, Ukojenie","28","Yoga Home","Praktyka jogi rozciągającej idealna po dniu spędzonym na stoku, skoncentrowana na rozluźnieniu nóg.","2","Brak","https://www.youtube.com/watch?v=XjJ4HYOAxcg"
"Joga Peak Pose - Korkociąg | POZIOM ★★★☆ |","Vinyasa, Skręty, Skłony, Peak Pose","64","Yoga Home","Sesja vinyasy prowadząca do głównej asany, pozycja Korkociąg łącząca skłony, skręty i oploty.","3","Brak","https://www.youtube.com/watch?v=u6a8jdyrq3A"
"JOGA na biodra - mobilność bioder | POZIOM ★★☆☆ |","Vinyasa, Rozciąganie, Biodra, Mobilność","32","Yoga Home","Praktyka skoncentrowana na rozciąganiu bioder, przydatna do wypracowania pozycji lotosu.","2","Brak","https://www.youtube.com/watch?v=qnheUseLU-w"
"Popraw mobilność stopy w 20 minut - POZIOM ★☆☆☆","Mobilność, Stopy, Wzmacnianie, Techniki","23","Yoga Home","Praktyka jogi poprawiająca mobilność stóp, istotną dla prawidłowego wykonywania asan.","2","Brak","https://www.youtube.com/watch?v=fPCovqcWBPc"
"FULL BODY YOGA - ogólnorozwojowa joga 65 min | POZIOM ★★☆☆ |","Vinyasa, Ogólnorozwojowa, Wzmacnianie, Techniki","67","Yoga Home","Ogólnorozwojowa praktyka jogi bez skupienia na konkretnym aspekcie, z elementami wzmacniającymi.","2","Brak","https://www.youtube.com/watch?v=16kYXjo9V3I"
"YOGA - Choreo Vinyasa Flow | POZIOM ★★★☆ |","Vinyasa, Choreografia, Ruch, Flow","28","Yoga Home","Sesja łącząca elementy taneczne z jogą, z płynnym flow połączonym z oddechem.","3","Brak","https://www.youtube.com/watch?v=JcQjzPdPP8o"
"Joga na lepsze oddychanie | POZIOM ★☆☆☆","Oddech, Relaks, Techniki, Rozciąganie","25","Yoga Home","Sesja jogi skoncentrowana na poprawie zdolności do głębszego oddychania poprzez rozciąganie klatki piersiowej.","1","Brak","https://www.youtube.com/watch?v=I_-bMIRoELQ"
"Joga Kręgosłupa - proste ćwiczenia na bolące plecy | 45 min | POZIOM ★☆☆☆","Kręgosłup, Relaks, Mobilność, Bóle pleców","46","Yoga Home","Sesja jogi dedykowana zdrowiu kręgosłupa, pomagająca w rozluźnieniu napięć i wzmocnieniu pleców.","2","Brak","https://www.youtube.com/watch?v=PKHHZKFrRRc"
"Yoga Flow - Rozgrzewająca Rampa  | POZIOM ★★☆☆ |","Vinyasa, Flow, Cardio, Rozgrzewka","46","Yoga Home","Praktyka vinyasy, w której każda kolejna vinyasa prowadzi do dłuższego flow, synchronizowanego z oddechem.","3","Brak","https://www.youtube.com/watch?v=2hGGqEB-9Vg"
"Yoga Flow - Rampa bez chaturang | POZIOM ★★☆☆ |","Vinyasa, Flow, Cardio, Rozgrzewka","38","Yoga Home","Praktyka vinyasy z każdą nową sekwencją, tworzącą dłuższe flow w płynnym rytmie oddechu.","3","Brak","https://www.youtube.com/watch?v=MVEg6T_5ePQ"
"JOGA na Nowy Rok - 25 Powitań Słońca","Powitanie Słońca, 20 minut, Ruch, Nowy Rok","20","Yoga Home","Sesja jogi ze 25 Powitaniami Słońca, idealna do rozruszania ciała.","2","Brak","https://www.youtube.com/watch?v=cQqMoI6gj30"
"Świąteczna Praktyka Jogi z YogaHome.pl | POZIOM ★★☆☆ |","Vinyasa, Relaks, Święta, Równowaga","47","Yoga Home","Świąteczna sesja jogi w stylu Vinyasa, skoncentrowana na odnajdywaniu wewnętrznego spokoju.","2","Brak","https://www.youtube.com/watch?v=gStGY4Uj77o"
"YIN YOGA - Aktywny Odpoczynek | 60 min | POZIOM ★☆☆☆ |","Yin, Relaks, Regeneracja, Stretching","60","Yoga Home","Sesja Yin Jogi, skoncentrowana na relaksacji i głębokim rozciąganiu.","1","Brak","https://www.youtube.com/watch?v=o0pkOzitEtA"
"Yoga Wheel - Joga z kołem | POZIOM ★★☆☆ |","Koło do jogi, Balans, Siła, Elastyczność","21","Yoga Home","Praktyka wykorzystująca koło do jogi, skupiająca się na wzmacnianiu mięśni core oraz poprawie balansu w asanach.","3","Yoga Wheel","https://www.youtube.com/watch?v=yyycNQ8oWVU"
"JOGA 25min - profilaktyka dla kręgosłupa | POZIOM ★☆☆☆ |","Kręgosłup, Hatha, Łagodna, Profilaktyka","26","Yoga Home","Praktyka jogi skoncentrowana na ćwiczeniach dla dobrostanu kręgosłupa, z dostosowaniem do indywidualnych możliwości.","2","Brak","https://www.youtube.com/watch?v=bzfPXwun-hI"
"Rozpracuj wygięcia - LEKCJA JOGI | 65 min | POZIOM ★★☆☆ |","Wygięcia, Elastyczność, Kręgosłup, Wzmacnianie","64","Yoga Home","Lekcja jogi skoncentrowana na przygotowaniu ciała do bezpiecznych wygięć w tył, z sekwencją wzmacniającą oraz rozciągającą.","3","Brak","https://www.youtube.com/watch?v=qo7ZEyMuTQ0"
"ROZCIĄGANIE ŁYDEK na kilka sposobów | POZIOM ★☆☆☆ |","Rozciąganie, Łydki, Regeneracja, Łagodna","23","Yoga Home","Sesja jogi skupiona na rozciąganiu łydek, mająca na celu zwiększenie elastyczności i redukcję napięcia mięśniowego.","2","Brak","https://www.youtube.com/watch?v=P-g9ljyrNgo"
"Infinity Flow Yoga - Zapętlona Sekwencja | POZIOM ★★★☆ |","Vinyasa, Flow, Zaawansowana, Dynamiczna","24","Yoga Home","Krótka, zaawansowana praktyka jogi w stylu Vinyasa, oparta na schemacie zapętlonej sekwencji asan.","4","Brak","https://www.youtube.com/watch?v=pZGGy4108Rc"
"Skłon do szerokich nóg - LEKCJA JOGI | 65 min | POZIOM ★★☆☆ |","Skłon, Elastyczność, Siła, Dolna partia ciała","65","Yoga Home","Praktyka jogi skoncentrowana na głębokim skłonie w pozycji z szerokimi nogami, mająca na celu poprawę elastyczności i siły.","3","Brak","https://www.youtube.com/watch?v=jYLFp495Z9M"
"Joga 20 min - głęboka stabilizacja ciała | POZIOM ★★☆☆ |","Stabilizacja, Vinyasa, Wzmacnianie, Core","21","Yoga Home","Sesja jogi w stylu Vinyasa, skoncentrowana na stabilizacji ciała oraz wzmocnieniu mięśni core.","2","Brak","https://www.youtube.com/watch?v=t-2LpI2orjI"
"Power Vinyasa Joga  55 min | POZIOM ★★☆☆ |","Power Yoga, Vinyasa, Energia, Wzmocnienie","55","Yoga Home","Energetyzująca sesja power jogi łącząca statyczne pozycje z dynamicznymi vinyasami, pobudzająca ciało i umysł.","3","Brak","https://www.youtube.com/watch?v=9OHPPTotkwY"
"Joga na stojąco - bez obciążania nadgarstków | POZIOM ★★☆☆|","Stojąca, Równowaga, Seniorzy, Brak obciążenia","30","Yoga Home","Sesja jogi na stojąco, skoncentrowana na równowadze i elastyczności, idealna dla osób z bólem nadgarstków.","2","Brak","https://www.youtube.com/watch?v=ypnSdWsuV48"
"Joga Kręgosłupa - Zadbaj o swoje plecy | 45 min | POZIOM ★☆☆☆","Kręgosłup, Relaks, Łagodna, Zdravie","47","Yoga Home","Sesja jogi poświęcona zdrowiu kręgosłupa, skupiająca się na rozluźnieniu napięć i wzmocnieniu mięśni pleców.","2","Brak","https://www.youtube.com/watch?v=dhe35W5UkF0"
"Joga z paskiem - przyjemne rozciąganie | POZIOM ★☆☆☆ |","Rozciąganie, Elastyczność, Pasek, Łagodna","20","Yoga Home","Sesja jogi z wykorzystaniem paska, skoncentrowana na poprawie elastyczności i komforcie w asanach.","2","Pasek","https://www.youtube.com/watch?v=K0h3ivmXugM"
"Fit Flow Yoga Practice | Silent Yoga Session for Fitness and Flexibility","Vinyasa, Fitness, Elastyczność, Flow","11","Yoga Home","Sesja jogi łącząca płynne ruchy jogi z elementami treningu fitness.","3","Brak","https://www.youtube.com/watch?v=7bgsGoTy3qo"
"Rozgrzewająca Joga na Chłodne Jesienne Dni - 65 min | POZIOM ★★☆☆ |","Wymagająca, Wzmacnianie, Vinyasa, Dynamika","65","Yoga Home","Rozgrzewająca sesja jogi, która zwiększa energię i poprawia nastrój dzięki dynamicznym ruchom.","3","Brak","https://www.youtube.com/watch?v=LlrXeMYYUqs"
"Joga Dla Seniorów - Ćwiczenia Na Krześle | Aktywny Senior","Seniorzy, Krzesło, Elastyczność, Zdrowie","25","Yoga Home","Sesja jogi na krześle, zaprojektowana z myślą o seniorach i osobach o ograniczonej mobilności.","2","Krzesło","https://www.youtube.com/watch?v=nHxAhugcego"
"Deep Flow Yoga Practice | Silent Yoga Session for Inner Peace and Flexibility","Flow, Elastyczność, Spokój, Relaks","11","Yoga Home","Sesja głębokiego flow jogi, która łączy ruchy w płynne przejścia, poprawiając siłę i elastyczność.","3","Brak","https://www.youtube.com/watch?v=kZ7OcjPLu1U"
"Pogłębiona Lordoza Lędźwiowa - Zestaw ćwiczeń korekcyjnych","Korekcja, Terapeutyczna, Kręgosłup, Relaks","26","Yoga Home","Terapeutyczny zestaw ćwiczeń joga, skoncentrowany na niwelowaniu problemu pogłębionej lordozy lędźwiowej.","2","Brak","https://www.youtube.com/watch?v=vZl-MDdtFZE"
"Soft Flow Yoga Practice | Silent Yoga Session for Stress Relief and Flexibility","Spokój, Relaks, Flow, Elastyczność","11","Yoga Home","Sesja jogi, która promuje relaks i elastyczność poprzez delikatne, płynące ruchy.","2","Brak","https://www.youtube.com/watch?v=7BNgQDMTEIo"
"Joga na Stres i Poprawę Nastroju 😊55 min  POZIOM ★★☆☆","Stres, Poprawa nastroju, Elastyczność, Relaks","60","Yoga Home","Sesja jogi nastawiona na redukcję stresu i poprawę nastroju, łącząca kojące ruchy z technikami oddechowymi.","3","Brak","https://www.youtube.com/watch?v=VD2aprc4vVs"
"Choreo Vinyasa - Joga dla zaawansowanych | POZIOM ★★★☆ |","Vinyasa, Tańcząca, Kreatywność, Wymagająca","46","Yoga Home","Praktyka jogi łącząca elementy taneczne z płynnością ruchu, oferująca kreatywną choreografię asan.","4","Brak","https://www.youtube.com/watch?v=g-tpmC_8Iew"
"Daily Workout - Energizing Full Body Routine - DAY 5","Siła, Endurance, Całe Ciało, Energia","12","Yoga Home","Sesja skupiająca się na wzmacnianiu i wytrzymałości, angażująca wszystkie główne grupy mięśniowe.","3","Brak","https://www.youtube.com/watch?v=jSzE_o_oBfQ"
"Slow & Stong Flow - Lekcja Jogi 55 min | POZIOM ★★☆☆ |","Vinyasa, Relaks, Umiarkowana","56","Yoga Home","Wolny i świadomy przepływ ruchu, wzmacniający ciało i umysł.","2","Brak","https://www.youtube.com/watch?v=zWYlO0wlfoo"
"JOGA 30 min - Szalone FLOW | POZIOM ★★★☆ |","Vinyasa, Flow, Zaawansowani, Płynne Przejścia","31","Yoga Home","Praktyka jogi z narastającym flow, łącząca płynne przejścia z pozycji do pozycji.","4","Brak","https://www.youtube.com/watch?v=IldkmNyV6-o"
"Daily Workout - Full Body Strength Routine - DAY 4","Siła, Całe Ciało, Flexibility, Fitness","12","Yoga Home","W treningu koncentrujemy się na elastyczności i równowadze, angażując wszystkie główne grupy mięśniowe.","3","Brak","https://www.youtube.com/watch?v=mmr1vg_SYL0"
"SLOW YOGA - spokój i harmonia 60 min  POZIOM ★★☆☆","Relaks, Hatha, Ukojenie, Harmonia","61","Yoga Home","Spokojna sesja jogi łącząca łagodne ruchy z technikami oddechowymi.","2","Brak","https://www.youtube.com/watch?v=XNDBcQZFc2U"
"Joga 25 min - Delikatne Flow | POZIOM ★☆☆☆ |","Vinyasa, Delikatny, Relaks, Spokój","28","Yoga Home","Relaksująca sesja jogi w stylu vinyasa z płynnym rytmem.","1","Brak","https://www.youtube.com/watch?v=HGHkyqOKQZE"
"Daily Workout - Total Body Conditioning - DAY 3","Siła, Całe Ciało, Core, Wydolność","12","Yoga Home","Sesja koncentrująca się na wzmocnieniu rdzenia ciała, istotnym dla zdrowego ciała.","3","Brak","https://www.youtube.com/watch?v=K_ka-87u2Fc"
"Stanie na głowie - krok po kroku 65 min | POZIOM ★★☆☆ |","Vinyasa, Wzmacnianie, Technika, Inwersje","64","Yoga Home","Sesja przygotowawcza do stania na głowie, koncentrująca się na wzmacnianiu ciała.","2","Brak","https://www.youtube.com/watch?v=mCYoY-vyK4E"
"BÓL KRĘGOSŁUPA LĘDŹWIOWEGO - proste ćwiczenia | POZIOM ★☆☆☆ |","Kręgosłup, Rehabilitacja, Proste Ćwiczenia, Komfort","11","Yoga Home","Zestaw prostych ćwiczeń na łagodzenie bólu lędźwiowego odcinka kręgosłupa.","1","Brak","https://www.youtube.com/watch?v=MWs34LJoc5Q"
"Daily Workout - 12 min YOGA HIIT - DAY 2","Cardio, HIIT, Energia, Wydolność","12","Yoga Home","Dynamiczny trening cardio i siłowy, który podnosi tętno.","5","Brak","https://www.youtube.com/watch?v=irQZXt4weP0"
"Joga Wzmacniająca Ramiona 💪 65 min | POZIOM ★★☆☆ |","Wzmacnianie, Ramiona, Vinyasa, Siła","65","Yoga Home","Praktyka jogi poprowadzona metodą vinyasa o charakterze wzmacniającym, skupiająca się na wzmacnianiu ramion.","3","Brak","https://www.youtube.com/watch?v=L7yWsitiClc"
"Joga na leżąco - odpoczynek po pracy | POZIOM ★☆☆☆ |","Relaks, Odpoczynek, Leżąco, Hatha","17","Yoga Home","Łagodna praktyka jogi na leżąco, idealna jako odpoczynek po pracy, koncentrująca się na rozciąganiu.","2","Brak","https://www.youtube.com/watch?v=EzKpvcQzss0"
"VINYASA JOGA - Pozycja Lotosu - 55 min | POZIOM ★★☆☆ |","Przygotowanie, Pozycja Lotosu, Vinyasa, Relaks","58","Yoga Home","Praktyka jogi przygotowująca ciało do wykonania pozycji lotosu, koncentrująca się na bezpieczeństwie kolan.","2","Brak","https://www.youtube.com/watch?v=n3xVa2QIHQQ"
"Joga na bolący odcinek szyjny kręgosłupa | POZIOM ★☆☆☆ |","Szyja, Kręgosłup, Relaks, Rozciąganie","17","Yoga Home","Sesja jogi skoncentrowana na rozluźnieniu i wzmocnieniu mięśni szyi i karku, idealna po pracy przy komputerze.","1","Brak","https://www.youtube.com/watch?v=hxhmM3ApXgA"
"JOGA z kostką 25min | POZIOM ★☆☆☆|","Krótka praktyka, Vinyasa, Kostka, Rozciąganie","28","Yoga Home","Krótka praktyka jogi z wykorzystaniem piankowej kostki, skoncentrowana na rozciąganiu.","2","Kostka","https://www.youtube.com/watch?v=_885aWjw2s4"
"SLOW FLOW YOGA 75 min  POZIOM ★★☆☆","Slow Flow, Vinyasa, Relaks, Stretching","76","Yoga Home","Praktyka jogi poprowadzona w stylu slow flow, koncentrująca się na spokojnym ruchu.","2","Brak","https://www.youtube.com/watch?v=w78w6SUWaFU"
"JOGA z mini band - Gołąb Królewski | POZIOM ★★★☆ |","Mini Band, Gołąb Królewski, Vinyasa, Wzmacnianie","41","Yoga Home","Praktyka jogi z użyciem małej gumy 'mini band' w celu przygotowania ciała do pozycji Gołębia Królewskiego.","4","Mini Band","https://www.youtube.com/watch?v=dFtBQXDIEkc"
"10min rozgrzewka nadgarstków - szybki przegląd ćwiczeń","Rozgrzewka, Nadgarstki, Szybka sesja, Przygotowanie","11","Yoga Home","Szybka rozgrzewka nadgarstków z wymienionymi ćwiczeniami w celu ich przygotowania do dalszej praktyki.","1","Brak","https://www.youtube.com/watch?v=if6HSik7Qf0"
"JOGA EKSTREMALNA - głębokie rozciąganie | POZIOM ★★★★","Głębokie rozciąganie, Vinyasa, Zaawansowana, Intensywna","48","Yoga Home","Praktyka jogi o charakterze zaawansowanym, skupiona na głębokich pozycjach rozciągających.","4","Brak","https://www.youtube.com/watch?v=gr9vnRIShkU"
"Joga - Infinity Flow 35min | POZIOM ★★☆☆|","Vinyasa, Flow, Relaks, Biodra","36","Yoga Home","Krótka praktyka jogi w stylu vinyasa z schematem Infinity Flow, który zapewnia płynne przejścia pomiędzy asanami.","3","Brak","https://www.youtube.com/watch?v=Lvg-Q7pNgvM"
"Joga wzmacniająca 35min | POZIOM ★★☆☆|","Vinyasa, Siła, Wzmacnianie, Brzuch","39","Yoga Home","Wzmacniająca praktyka jogi w stylu vinyasa, z naciskiem na pozycję navasana.","3","Brak","https://www.youtube.com/watch?v=oqmXSZCkB1Y"
"Joga dla Początkujących - tych bardzo nierozciągniętych - 45 min | POZIOM ★☆☆☆ |","Vinyasa, Początkujący, Rozciąganie, Brak","46","Yoga Home","Praktyka jogi dla początkujących, dostosowana do osób o ograniczonym zakresie ruchu.","1","Brak","https://www.youtube.com/watch?v=rQvUINP7Ed0"
"JUST FLOW - JOGA 25 min | POZIOM ★★★☆ |","Vinyasa, Flow, Rozgrzewka, Biodra","27","Yoga Home","Praktyka vinyasy z płynymi ruchami flow, idealna do rozruszania ciała.","4","Brak","https://www.youtube.com/watch?v=n5kjs16bDIk"
"FULL BODY YOGA - ogólnorozwojowa 65 min | POZIOM ★★☆☆ |","Vinyasa, Ogólnorozwojowa, Wzmacnianie, Elastyczność","65","Yoga Home","Ogólnorozwojowa praktyka jogi w metodzie vinyasa, obejmująca wzmacnianie i pogłębianie zakresu ruchu.","2","Brak","https://www.youtube.com/watch?v=dbhBTdg3z_Q"
"20 min MOBILNOŚĆ BARKÓW | POZIOM ★☆☆☆ |","Rozciąganie, Mobilność, Początkujący, Barki","20","Yoga Home","Krótka sesja jogi skoncentrowana na mobilności obręczy barkowej i klatki piersiowej.","1","Brak","https://www.youtube.com/watch?v=1r5N7rzZ8Ts"
"15 min DAILY STRETCH | Day 5 Stretch Routine | Full Body Refresh","Rozciąganie, Relaks, Ciało, Brak","15","Yoga Home","Ostatnia sesja z serii codziennych rozciągnięć, mająca na celu odświeżenie całego ciała.","2","Brak","https://www.youtube.com/watch?v=-la34tLOg64"
"JOGA - Stanie na Głowie z Lotosem - 75 min | POZIOM ★★★☆ |","Vinyasa, Stanie na głowie, Peak Pose, Wyważanie","76","Yoga Home","Praktyka jogi przygotowująca do pozycji stania na głowie z lotosem, z naciskiem na bezpieczeństwo.","4","Brak","https://www.youtube.com/watch?v=Fg2tUPfh3UQ"
"JOGA na ZDROWY KRĘGOSŁUP - Stabilizacja | POZIOM ★☆☆☆ |","Kręgosłup, Wzmacnianie, Początkujący, Stabilizacja","31","Yoga Home","Wzmacniająca sesja jogi skupiająca się na stabilizacji mięśni wokół kręgosłupa.","1","Brak","https://www.youtube.com/watch?v=wL22sLzIQcw"
"15 min DAILY STRETCH | Day 4 Stretch Routine | Energize & Restore","Rozciąganie, Energizacja, Relaks, Całe ciało","15","Yoga Home","Czwarty odcinek serii codziennych rozciągających ćwiczeń, które mają na celu energizację oraz przywrócenie równowagi. Każde ćwiczenie trwa 45 sekund, po którym następuje 10-sekundowa przerwa.","2","Brak","https://www.youtube.com/watch?v=9zoKqRQrSl8"
"Full Body Workout - JOGA WZMACNIAJĄCA 60 min | POZIOM ★★☆☆ |","Wzmacnianie, Vinyasa, Całe ciało, Energia","60","Yoga Home","Sesja jogi poprowadzona metodą vinyasa, która skupia się na wzmacnianiu całego ciała. Podczas praktyki pojawią się elementy rozwijające siłę.","3","Brak","https://www.youtube.com/watch?v=YcBhDrdqypU"
"YogaWheel - Rozciąganie z kołem do jogi | POZIOM ★☆☆☆ |","Rozciąganie, Yoga Wheel, Balans, Core","31","Yoga Home","Praktyka rozciągająca z wykorzystaniem koła do jogi, koncentrująca się na głębokim rozciąganiu i aktywacji mięśni core.","2","Yoga Wheel","https://www.youtube.com/watch?v=eIemcYPkagY"
"15 min DAILY STRETCH | Day 3 Stretch Routine | Flexibility & Stress Relief","Rozciąganie, Relaks, Elastyczność, Całe ciało","15","Yoga Home","Trzeci odcinek serii codziennych rozciągających ćwiczeń, mający na celu poprawę elastyczności oraz relaks. Każde ćwiczenie trwa 45 sekund z 10-sekundową przerwą.","2","Brak","https://www.youtube.com/watch?v=MbqWfnKjJqg"
"Głębokie rozciąganie - Joga Vinyasa - 65 min | POZIOM ★★☆☆ |","Rozciąganie, Vinyasa, Pogłębianie, Czas","65","Yoga Home","Sesja jogi vinyasa skoncentrowana na głębokim rozciąganiu z większym naciskiem na czas spędzony w każdej pozycji.","2","Brak","https://www.youtube.com/watch?v=Iobq5xVNodE"
"SZYBKA ROZGRZEWKA przed bieganiem 🏃‍♂️ 10 minut","Rozgrzewka, Bieganie, Mobilność, Zapobieganie kontuzjom","10","Yoga Home","Krótka rozgrzewka przed bieganiem, mająca na celu przygotowanie ciała oraz zapobiegające kontuzjom.","2","Brak","https://www.youtube.com/watch?v=3pxZkCRcQuo"
"15 min DAILY STRETCH | Day 2 Stretch Routine | Flexibility, Mobility & Calm","Rozciąganie, Elastyczność, Relaks, Całe ciało","15","Yoga Home","Drugi odcinek serii codziennych rozciągających ćwiczeń, ukierunkowany na poprawę elastyczności i samopoczucia.","2","Brak","https://www.youtube.com/watch?v=K9c4wNgywqY"
"FULL BODY YOGA - 65 min | POZIOM ★★☆☆ |","Vinyasa, Wzmacnianie, Mobilność, Całe ciało","65","Yoga Home","Ogólnorozwojowa sesja jogi vinyasa, łącząca elementy wzmacniające oraz poprawiające zakres ruchu.","2","Brak","https://www.youtube.com/watch?v=N4LuWRPY2vQ"
"Yoga Wheel - Wzmacnianie z kołem do jogi | POZIOM ★★☆☆ |","Wzmacnianie, Yoga Wheel, Siła, Balans","31","Yoga Home","Sesja jogi z użyciem koła do jogi, koncentracja na wzmacnianiu ciała i dodaniu trudności do znanych pozycji.","3","Yoga Wheel","https://www.youtube.com/watch?v=oQ7q8EdPRi4"
"15 min DAILY STRETCH | Stretching routine DAY 1 | Flexibility, Mobility & Relaxation","Rozciąganie, Elastyczność, Relaks, Całe ciało","15","Yoga Home","Pierwszy odcinek serii codziennych ćwiczeń rozciągających, skupiający się na elastyczności i relaksie.","2","Brak","https://www.youtube.com/watch?v=_hDVgCSkFag"
"Joga na sprawne kolana - 60 min | POZIOM ★★☆☆ |","Kolana, Vinyasa, Rozciąganie, Zdrowie","65","Yoga Home","Sesja joga, która koncentruje się na poprawie zdrowia i mobilności kolan poprzez techniki vinyasa.","2","Brak","https://www.youtube.com/watch?v=kjcgQ1SUSfE"
"JOGA DLA SENIORA - Joga na łóżku | POZIOM ★☆☆☆","Seniorzy, Łóżko, Rozgrzewka, Zdrowie","22","Yoga Home","Łatwa praktyka jogi do wykonania na łóżku, mająca na celu rozruszanie ciała po przebudzeniu.","1","Brak","https://www.youtube.com/watch?v=7Yt6PuI3V6A"
"25 min STANIE NA PRZEDRAMIONACH | POZIOM ★★★☆ |","Zaawansowani, Vinyasa, Wzmacnianie, Przedramiona","25","Yoga Home","Sesja skupiająca się na wzmacnianiu ciała oraz doskonaleniu pozycji stania na przedramionach.","4","Brak","https://www.youtube.com/watch?v=tMpsIr-29_A"
"FULL BODY YOGA - 65 min | POZIOM ★★☆☆ |","Całe ciało, Vinyasa, Ogólnorozwojowa, Wzmacnianie","66","Yoga Home","Ogólnorozwojowa praktyka jogi w stylu vinyasa, która angażuje całe ciało.","2","Brak","https://www.youtube.com/watch?v=lgsvoeXDsBM"
"JOGA 30 MINUT - Pozycje Wielbłąda | POZIOM ★★★☆ |","Wielbłąd, Vinyasa, Rozciąganie, Pozycje","33","Yoga Home","Sesja jogi inspirowana pozycją Wielbłąda, skupiająca się na technikach vinyasa.","4","Brak","https://www.youtube.com/watch?v=wLHd0LoAlYY"
